filename,label,local_channels,remote_channels,null_fields,null_fields_excl_host_snr
2764.json,local,4,4,0,0
2810.json,local,4,4,1,0
2821.json,local,4,4,1,0
2822.json,fiber,4,4,1,0
2825.json,local,4,4,1,0
2841.json,local,4,4,0,0
2867.json,local,4,4,0,0
2869.json,remote,4,4,0,0
2875.json,remote,4,4,1,0
2882.json,local,4,4,1,0
2890.json,local,4,4,0,0
2892.json,local,4,4,1,0
2893.json,local,4,4,1,0
2894.json,fiber,4,4,1,0
2901.json,local,4,4,0,0
2909.json,local,4,4,1,0
2912.json,local,4,4,0,0
2914.json,local,4,4,1,0
2915.json,local,4,4,1,0
2932.json,local,4,4,1,0
2944.json,remote,4,4,0,0
2953.json,local,4,4,1,0
2960.json,local,4,4,0,0
2962.json,local,4,4,1,0
2964.json,local,4,4,1,0
297.json,fiber,4,4,0,0
2975.json,local,4,4,1,0
2978.json,local,4,4,1,0
2980.json,fiber,4,4,1,0
2981.json,fiber,4,4,1,0
2986.json,remote,4,4,1,0
2989.json,local,4,4,1,0
2992.json,local,4,4,0,0
2993.json,remote,4,4,0,0
3003.json,remote,4,4,0,0
302.json,remote,4,4,1,0
3033.json,local,4,4,1,0
305.json,local,4,4,0,0
306.json,remote,4,4,0,0
3061.json,local,4,4,0,0
3067.json,remote,4,4,1,0
3078.json,local,4,4,1,0
3081.json,local,4,4,1,0
3082.json,local,4,4,1,0
3090.json,local,4,4,1,0
3091.json,remote,4,4,1,0
3103.json,remote,4,4,0,0
3106.json,local,4,4,0,0
3108.json,remote,4,4,1,0
328.json,local,4,4,1,0
332.json,local,4,4,1,0
3368.json,local,4,4,1,0
3371.json,remote,4,4,1,0
3373.json,local,4,4,1,0
3375.json,local,4,4,0,0
3377.json,local,4,4,0,0
338.json,remote,4,4,0,0
3389.json,local,4,4,1,0
3409.json,fiber,4,4,1,0
3410.json,local,4,4,1,0
3412.json,local,4,4,1,0
3423.json,local,4,4,0,0
3427.json,local,4,4,1,0
3437.json,local,4,4,1,0
3438.json,fiber,4,4,0,0
3457.json,remote,4,4,0,0
3491.json,remote,4,4,0,0
3494.json,local,4,4,1,0
3502.json,local,4,4,1,0
3527.json,remote,4,4,1,0
3530.json,local,4,4,1,0
3535.json,local,4,4,1,0
3547.json,fiber,4,4,0,0
358.json,remote,4,4,0,0
3588.json,local,4,4,1,0
3595.json,local,4,4,1,0
3597.json,remote,4,4,0,0
3607.json,remote,4,4,1,0
3611.json,local,4,4,1,0
3630.json,local,4,4,1,0
3676.json,local,4,4,1,0
3677.json,local,4,4,1,0
3698.json,local,4,4,1,0
370.json,remote,4,4,0,0
3706.json,local,4,4,1,0
3709.json,local,4,4,0,0
3713.json,remote,4,4,1,0
3724.json,local,4,4,1,0
373.json,local,4,4,1,0
3755.json,local,4,4,1,0
3824.json,remote,4,4,1,0
3828.json,local,4,4,1,0
432.json,remote,4,4,1,0
438.json,remote,4,4,0,0
439.json,local,4,4,0,0
466.json,local,4,4,1,0
473.json,local,4,4,0,0
504.json,local,4,4,1,0
522.json,fiber,4,4,1,0
555.json,local,4,4,0,0
556.json,local,4,4,1,0
562.json,remote,4,4,1,0
686.json,local,4,4,1,0
690.json,local,4,4,1,0
715.json,remote,4,4,1,0
746.json,local,4,4,1,0
747.json,local,4,4,1,0
793.json,remote,4,4,1,0
805.json,local,4,4,1,0
809.json,local,4,4,1,0
824.json,remote,4,4,1,0
849.json,remote,4,4,1,0
850.json,remote,4,4,0,0
856.json,local,4,4,1,0
866.json,fiber,4,4,0,0
87.json,remote,4,4,1,0
874.json,local,4,4,1,0
88.json,local,4,4,1,0
91.json,local,4,4,1,0
937.json,remote,4,4,1,0
940.json,local,4,4,0,0
96.json,remote,4,4,0,0
970.json,remote,4,4,1,0
972.json,local,4,4,1,0
989.json,remote,4,4,0,0
99.json,local,4,4,1,0
996.json,remote,4,4,0,0
alarm_01.json,remote,4,4,26,26
alarm_03.json,local,4,4,26,26
alarm_04.json,remote,4,4,26,26
alarm_05.json,local,4,4,26,26
alarm_06.json,local,4,4,26,26
alarm_07.json,remote,4,4,26,26
alarm_08.json,remote,4,4,26,26
alarm_11.json,local,4,4,26,26
alarm_12.json,fiber,4,4,26,26
alarm_16.json,local,4,4,26,26
alarm_17.json,remote,4,4,26,26
alarm_19.json,remote,4,4,26,26
alarm_20.json,remote,4,4,20,20
alarm_21.json,fiber,4,4,26,26
alarm_23.json,local,4,4,26,26
alarm_24.json,fiber,4,4,26,26
alarm_31.json,fiber,4,4,27,26
alarm_33.json,remote,4,4,27,26
alarm_36.json,local,4,4,27,26
alarm_54.json,local,4,4,27,26
alarm_55.json,local,4,4,27,26
alarm_56.json,local,4,4,27,26
alarm_60.json,local,4,4,26,26
alarm_61.json,remote,4,4,27,26
alarm_62.json,remote,4,4,27,26
alarm_81.json,remote,4,4,6,5
alarm_82.json,local,4,4,8,8
